Samples	Depth [m]	Temperature [ºC]	Salinity [PSU]	Density [kg/m3]	Oxygen [ml/l]	Oxygen [%]	Fluorescence [mg/m3]	Orthophosphate [uM]	Silicic-acid [uM]	Nitrite [uM]	Nitrates [uM]	Nitrate [uM]	NP ratio
S17_Z07	150	10.614	34.62	1027.235	0.111	1.777	1.358	2.923	26.84	0.032	27.375	27.344	9.367
S17_Z09	500	6.082	34.29	1029.295	3.955	57.079	1.243	2.179	15.73	0.012	31.305	31.294	14.37
S18_Z00	1	12.242	34.52	1026.178	3.35	55.478	16.848	2.635	21.08	0.804	20.464	19.66	7.766
S18_Z01	20	11.456	34.55	1026.439	1.498	24.409	3.753	3.011	26.133	0.867	23.37	22.503	7.761
S18_Z03	50	11.254	34.62	1026.66	0.0	-0.313	1.468	3.653	34.535	3.532	23.58	20.048	6.456
S18_Z05	80	11.248	34.65	1026.822	0.0	-0.898	1.474	3.094	22.88	1.861	25.383	23.522	8.203
S18_Z07	150	10.754	34.65	1027.228	0.0	-0.753	1.442	3.301	22.655	1.611	23.995	22.384	7.268
S18_Z09	500	6.86	34.38	1029.26	2.223	32.692	1.293	2.882	22.49	0.039	35.28	35.242	12.244
S19_Z00	2	14.156	34.23	1025.574	5.466	93.963	6.572	1.475	4.043	0.584	12.207	11.623	8.276
S19_Z01	20	13.942	34.25	1025.712	5.309	90.878	5.458	1.635	5.007	0.692	13.73	13.038	8.399
S19_Z03	50	11.097	34.21	1026.37	3.03	48.871	1.672	2.171	9.033	0.094	24.805	24.711	11.427
S19_Z05	80	10.707	34.36	1026.694	1.751	28.047	1.324	2.524	13.925	0.061	28.113	28.052	11.138
S19_Z07	150	10.203	34.49	1027.207	0.502	7.964	1.349	2.848	22.53	0.042	29.93	29.889	10.509
S19_Z09	500	6.631	34.331	1029.251	2.867	41.925	1.259	2.382	17.605	0.036	33.8	33.765	14.193
S20_Z00	2	14.043	34.15	1025.533	5.639	96.672	7.374	1.356	2.882	0.623	11.313	10.691	8.342
S20_Z01	20	13.968	34.18	1025.651	5.646	96.659	8.036	1.879	6.465	1.062	17.017	15.954	9.056
S20_Z03	50	11.807	34.31	1026.321	3.112	50.997	2.07	2.51	13.59	0.073	25.84	25.767	10.295
S20_Z05	80	11.227	34.57	1026.768	0.219	3.554	1.352	2.951	19.307	0.047	26.58	26.533	9.007
S20_Z07	150	10.764	34.61	1027.195	0.072	1.152	1.373	2.975	24.025	0.051	26.05	26.0	8.758
S20_Z09	500	7.314	34.37	1029.183	1.788	26.569	1.309	2.519	19.4	0.032	35.5	35.468	14.093
S21_Z01	20	13.678	34.3	1025.807	5.166	87.988	13.914	1.91	6.803	0.4	20.027	19.627	10.487
S21_Z05	80	11.184	34.53	1026.745	0.825	13.362	1.371	2.872	24.623	0.041	25.717	25.676	8.954
S21_Z07	150	11.046	34.68	1027.199	0.082	1.326	1.387	2.946	23.32	0.051	25.84	25.789	8.771
S21_Z09	500	7.244	34.41	1029.219	2.003	29.716	1.314	2.759	25.99	0.04	30.07	30.03	10.899
S24_Z00	2	12.793	34.29	1025.894	4.441	74.272	7.895	1.802	7.81	0.413	17.94	17.527	9.957
S24_Z01	20	12.798	34.29	1025.975	4.437	74.221	7.333	1.915	8.043	0.356	20.218	19.862	10.557
S24_Z03	50	11.167	34.19	1026.346	3.378	54.571	1.692	1.975	7.545	0.046	23.478	23.432	11.886
S24_Z05	80	10.825	34.37	1026.686	1.84	29.54	1.273	2.608	15.66	0.019	28.163	28.144	10.799
S24_Z07	150	10.356	34.55	1027.228	0.414	6.59	1.346	2.784	24.22	0.015	29.067	29.052	10.44
S24_Z09	500	6.386	34.35	1029.3	3.116	45.307	1.199	2.148	17.3	0.019	32.302	32.283	15.04
S25_Z00	1	16.099	25.96	1018.8	4.999	84.87	10.713	0.755	0.573	0.202	3.767	3.565	4.991
S25_Z01	20	16.143	34.32	1025.285	5.392	96.482	11.215	0.733	0.563	0.2	3.83	3.63	5.223
S25_Z03	50	13.262	34.07	1025.848	4.729	79.742	3.029	1.144	1.793	0.039	13.515	13.477	11.812
